Prices,Names
"Rs. 57,999",HP EliteBook 840 G3 ( TOUCHSCREEN ) - Core i5 6th Generation - 8GB DDR4 RAM - 256GB SSD - 14inch FHD Screen -Free Laptop Bag
"Rs. 14,210",Acer C720 ChromeBook Laptop - 4gb / 16gb - Long Battery Life
"Rs. 46,999",iLife Zed Air X - 13.3: FHD Display - Intel® Celeron® processor - 4GB RAM - 120GB SSD - Intel®HD Graphic - Windows 10
"Rs. 50,999",Lenovo Ideapad 330 - Intel Celeron N4000 - 15.6  HD Laptop - 4GB RAM - 1TB HDD - DOS - 1 Year Lenovo Direct Official Warranty
"Rs. 116,999",Insprion 15 5505 - |Ryzen 5 4500U|8GB|256GB SSD|WIFI/BT|WIN 10 HOME|AMD Radeon™  Graphics with shared graphics memory| BACKLIT KEYBOARD + FPR|FHD|PRO BACKPACK|MCAFEE|2CIS
"Rs. 81,999",HP 15S-FQ 2555 TU Core i3 11th Gen 4GB 256GB SSD 15.6-Inch HD Win 10
"Rs. 24,999","Apple Macbook 13.3  Laptop (Intel Core 2 Duo,DDR3 HDD, 4GB RAM,250GB HDD - Dual Operating System Windows® 7 & IOS (Activated) Refurbished"
"Rs. 37,499",HP ProBook 640 G1 Business Laptop ~Intel Core i5-4210M 2.6GHz ~ 500GB 7200RPM HHD~ 4GB DDR3
"Rs. 138,000","HP Pavilion 15-DK1056WM Gaming Laptop 10th Gen Core i5, 8GB, 256GB SSD, GTX 1650 4GB, Windows 10"
"Rs. 7,499",seagate Expansion - 1TB Portable External Hard Drive
"Rs. 107,999",LENOVO IDEAPAD 5 LAPTOP 11TH GEN INTEL CORE I5-1135G7 8GB 512GB SSD DOS Backlit KeyBoard Finger Print
"Rs. 54,999","HP EliteBook 840 G3 - 14” FHD, Intel Core i5-6300U 2.4Ghz, 6th Gen 8GB DDR4, 128GB SSD + 500GB HDD, Windows 10 64 bit"
"Rs. 242,999",MacBook Pro 13-inch Space Gray Apple M1 chip 256GB SSD MYD82 Touch Bar and Touch ID with Backlit Magic Keyboard (2020)
"Rs. 28,499","HP ProBook 11 G1 - Education Edition - 11.6"" - Core i3 5005U - 4 GB RAM - 128 GB SSD"
"Rs. 199,000",MacBook Air 13-inch Gold Apple M1 chip 256GB MGND3 SSD Touch ID Backlit Magic Keyboard (2020)
"Rs. 4,399",Haier Laptop Keyboard Y11C
"Rs. 64,999",Hp Elitebook 840 G4 - Core i5 7th Generation - 8GB RAM - 256GB SSD - 14inch FHD Screen - Free Laptop Bag
"Rs. 27,000",Lenovo ThinkPad X230 - 12.5  - Core i5 3320M - 4 GB RAM - 320GB HDD (Refurbished)
"Rs. 89,499","Lenovo Idea Pad S145 10 th Gen Ci5-1035G1-4GB, 1TB, 15.6  LED,1X1AC+BT ,2CELL, DOS, ,GREY"
"Rs. 30,990","Kindle Paperwhite (10th Gen.) 6 Touch Display, 300 PPI with Built-in Light, 8GB, Waterproof, WiFi"
"Rs. 59,999",Dell Latitude 5480 - Core i5 7th Generation - 8GB RAM - 256GB SSD - 14inch FHD Screen - Free Laptop Bag
"Rs. 24,999","Acer Aspire R3-131T 11.6-inch Touch Screen Laptop (Pentium Quad Core N3700 4GB 320GB Windows 10 Pro Intel HD Graphics), Sky Blue"
"Rs. 14,999","Lenovo ThinkPad Edge 11"" 0328 - 11.6"" - Celeron - Windows 7 Pro 64-bit - 4 GB RAM - 160 GB HDD"
"Rs. 16,500","Lenovo ThinkPad X131e Chromebook - 11.6"" - Celeron 1007U - 4 GB RAM - 320 GB HDD - QWERTY US"
"Rs. 12,000","Lenovo N22-20 Touch Chromebook - 11.6"" - Celeron N3060 - 2GB RAM - 16 GB eMMC"
"Rs. 138,000","Dell Inspiron 15 7506 2 in 1 11th Gen Core i5, 12GB, 512GB M.2 SSD+32GB Optane, 15.6"" FHD Touch, W10"
"Rs. 138,000","HP Pavilion 15-DK0056 GAMING Core™ i5-9300H 2.4GHz 256GB SSD 8GB 15.6"" (1920x1080) MICRO-EDGE BT WIN10 Webcam NVIDIA GTX 1650 4096MB Backlit Keyboard."
"Rs. 36,500","HP 255 G6 - 15.6"" - A6 9220 - 4 GB RAM - 500 GB HDD"
"Rs. 15,500",Acer C740  4gb / 16gb -  Chromebook Laptop - With Play Store - Long Battery Life - Best for Online Usage
"Rs. 22,499","Apple Macbook A1342 13.3 LED Display - Intel® Core™2 Duo Processor 3GB RAM - 250GB HDD - Dual Operating System  Windows® 7 , 10 & Mac OS (Activated) Refurbished"
"Rs. 136,000","Lenovo Yoga C740-14IML Laptop 10th Gen Ci5 10210U 8GB 256GB SSD 14"" FHD Touchscreen Backlit KB Windows 10 Intel UHD Graphics Mica Color 81TC000JUS"
"Rs. 24,000",HP Stream 11 Celeron 6th generation 2gb 32gb with 128gb ssd card(BEST FOR ONLINE CLASSES)
"Rs. 45,000",i-Life Zed Book-II - 2 in 1 Detachable - 11.6  FHD Touch Display - Intel® Atom Quad Core processor - Intel® HD 400 - Windows® 10 - Silver
"Rs. 44,000","HP ProBook 430 G3 - 13.3"" - Core i3 6200U - 4 GB RAM - 128 GB SSD (Touchscreen)"
"Rs. 54,499","HP Elitebook 840 G3 6th Generation 8GB RAM, 128GB SSD + 500GB HDD, 14 inch LED Display, FREE LAPTOP BAG"
