,Name,Year,Duration,IMDB,MetaScore
0,Shershaah,(2021),135 min,8.8,-
1,Once Upon a Time... In Hollywood,(2019),161 min,7.6,83        
2,Zack Snyder's Justice League,(2021),242 min,8.1,54        
3,The Shawshank Redemption,(1994),142 min,9.3,80        
4,The Godfather,(1972),175 min,9.2,100        
5,Jaws,(1975),124 min,8.0,87        
6,Guardians of the Galaxy,(2014),121 min,8.0,76        
7,Avengers: Endgame,(2019),181 min,8.4,78        
8,The Wolf of Wall Street,(2013),180 min,8.2,75        
9,Harry Potter and the Sorcerer's Stone,(2001),152 min,7.6,64        
10,Joker,(2019),122 min,8.4,59        
11,The Dark Knight,(2008),152 min,9.0,84        
12,Knives Out,(2019),130 min,7.9,82        
13,Pulp Fiction,(1994),154 min,8.9,94        
14,Interstellar,(2014),169 min,8.6,74        
15,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,8.8,92        
16,Forrest Gump,(1994),142 min,8.8,82        
17,The Matrix,(1999),136 min,8.7,73        
18,Back to the Future,(1985),116 min,8.5,87        
19,Inception,(2010),148 min,8.8,74        
20,Django Unchained,(2012),165 min,8.4,81        
21,Parasite,(2019),132 min,8.6,96        
22,Tombstone,(1993),130 min,7.8,50        
23,Guardians of the Galaxy Vol. 2,(2017),136 min,7.6,67        
24,Titanic,(1997),194 min,7.8,75        
25,Thor: Ragnarok,(2017),130 min,7.9,74        
26,Inglourious Basterds,(2009),153 min,8.3,69        
27,The Gentlemen,(2019),113 min,7.8,51        
28,Blade Runner 2049,(2017),164 min,8.0,81        
29,The Father,(I) (2020),97 min,8.3,88        
30,The Departed,(2006),151 min,8.5,85        
31,Jurassic Park,(1993),127 min,8.1,68        
32,Another Round,(2020),117 min,7.8,79        
33,Ferris Bueller's Day Off,(1986),103 min,7.8,61        
34,Avengers: Infinity War,(2018),149 min,8.4,68        
35,Dazed and Confused,(1993),102 min,7.6,78        
36,Goodfellas,(1990),146 min,8.7,90        
37,Alien,(1979),117 min,8.4,89        
38,Heat,(1995),170 min,8.2,76        
39,Deadpool,(2016),108 min,8.0,65        
40,Prisoners,(2013),153 min,8.1,70        
41,Star Trek,(2009),127 min,7.9,82        
42,Se7en,(1995),127 min,8.6,65        
43,Gone Girl,(2014),149 min,8.1,79        
44,Deadpool 2,(2018),119 min,7.7,66        
45,Fight Club,(1999),139 min,8.8,66        
46,Catch Me If You Can,(2002),141 min,8.1,75        
47,The Big Lebowski,(1998),117 min,8.1,71        
48,Aliens,(1986),137 min,8.3,84        
49,Pirates of the Caribbean: The Curse of the Black Pearl,(2003),143 min,8.0,63        
50,Shutter Island,(2010),138 min,8.2,63        
51,American Psycho,(2000),101 min,7.6,64        
52,The Dark Knight Rises,(2012),164 min,8.4,78        
53,Requiem for a Dream,(2000),102 min,8.3,68        
54,Saving Private Ryan,(1998),169 min,8.6,91        
